Zeit,Tempa,Tempb,EH11,EV12,EH21,EV22,EV32,EV33,W12,W22,VH31,W32,W11,W21,Tempc,KMD1,KMD2,KMD1kompensiert,KMD2kompensiert,EH31,Temperatur aussen,Zeit_timestamp,EH13,EH22,EH32,EH33,EV11,EV31,VH12,VH13,VH22,VH32,VH33,W13,W23,W33
2021-12-05,10.708265416666668,6.770512083333333,-28.34092638790071,-30.8555597449581,-53.64122420373633,-46.01254059460234,-42.96542588078319,-76.52682706998803,48.754446639976095,-43.90263400059348,-216.9314650919332,-1096.4384805071186,-34.10015838819663,-119.54199450326223,,,,,,-78.24350491103223,2.194236111111111,1638662400.0,,165.10526315789502,-64.02192982456108,90.46491228070136,123.33771929824525,97.49561403508778,81.13596491228145,86.75877192982443,34.67982456140362,73.57017543859638,76.16666666666697,68.61403508771855,,88.14912280701719
2021-12-12,11.586697380952382,6.2206746428571424,-42.21896650694816,-45.016229030673,-67.06026557278392,-66.08734279698365,-65.96609707125936,-102.50520254617823,-337.58041752669055,-58.66846221487913,-220.28929842526668,-934.2339025309284,-55.97828285248215,-273.46281289611943,,,,,,-102.53479729198489,0.8875793650793652,1639267200.0,,144.4736842105267,-50.39035087719276,92.6754385964905,131.81140350877195,103.021929824562,91.82017543859638,68.70614035087738,32.10087719298281,83.1491228070181,90.16666666666697,78.92982456140317,,96.25438596491222
2021-12-19,11.754283928571429,5.5205738095238095,-40.52566805456763,-43.94290212591113,-67.67024735849782,-64.49824886841225,-62.97942599983162,-96.79561052236932,-650.8986753838333,-58.584591262498634,-257.5029449728854,-652.3042607452171,-42.959858209625054,-364.0562578961194,,,,,,-109.62755907769906,0.6590277777777778,1639872000.0,,123.84210526315837,-36.758771929824434,94.88596491228054,140.28508771929864,108.5482456140353,102.50438596491222,50.653508771929864,29.521929824561084,92.72807017543892,104.16666666666697,89.24561403508733,,104.35964912280724
2021-12-26,11.700520000000001,5.3454619999999995,-54.00078938790102,-57.041254078291786,-81.2730809537361,-71.72382417793597,-70.83833738078283,-105.41270173665498,-679.6926805266905,-77.11979316726047,-275.45164892526645,-528.3388540071192,-55.28337797153017,-505.7648224199288,,,,,,-128.37526891103198,-0.794951048951049,1640476800.0,,110.73333333333358,-36.729629629629926,87.26851851851825,117.68148148148157,102.59444444444489,98.95925925925985,-3.498148148148175,14.111111111111313,80.27407407407463,99.30740740740748,85.99814814814772,71.59999999999991,101.53333333333376
2022-01-02,,,,,,,,,,,,,,,,,,,,,,1641081600.0,,99.53333333333376,-40.15185185185146,77.15740740740694,87.19259259259252,93.7277777777781,91.80370370370383,-66.8092592592593,-4.555555555555657,62.229629629629926,89.66296296296332,79.30925925925885,54.80000000000018,95.9333333333334
2022-01-09,,,,,,,,,,,,,,,,,,,,,,1641686400.0,,88.33333333333394,-43.574074074073906,67.04629629629562,56.70370370370347,84.86111111111131,84.64814814814872,-130.12037037037044,-23.222222222222626,44.18518518518522,80.01851851851825,72.62037037036998,38.0,90.33333333333303
2022-01-16,,,,,,,,,,,,,,,,,,,,,,1642291200.0,,77.13333333333321,-46.99629629629635,56.93518518518522,26.214814814814417,75.99444444444453,77.4925925925927,-193.43148148148157,-41.88888888888869,26.14074074074142,70.37407407407409,65.93148148148157,21.199999999999818,84.73333333333358
2022-01-23,,,,,,,,,,,,,,,,,,,,,,1642896000.0,,65.9333333333334,-50.418518518518795,46.824074074073906,-4.274074074073724,67.12777777777774,70.33703703703759,-256.7425925925927,-60.55555555555566,8.096296296296714,60.729629629629926,59.2425925925927,4.400000000000091,79.13333333333321
2022-01-30,,,,,,,,,,,,,,,,,,,,,,1643500800.0,,54.733333333333576,-53.84074074074033,36.71296296296259,-34.762962962962774,58.26111111111186,63.18148148148157,-320.05370370370383,-79.22222222222263,-9.948148148147993,51.085185185184855,52.55370370370383,-12.400000000000091,73.53333333333376
2022-02-06,9.611843604651163,4.493088720930232,-11.596924992551976,-1.4302295899201454,-154.69693551187584,-344.0370608756102,-32.02986035752747,-79.87774024828241,519.7764909616815,-161.73245816726012,-6.831535692708712,-821.747167309446,1.9531685400979768,-355.60272021062656,4.4374444186046516,,,,,-132.2461223528926,4.011802325581395,1644105600.0,191.41666666666652,90.72222222222263,-69.34722222222263,-25.638888888889596,-252.91666666666697,13.486111111111313,59.95833333333394,-415.1111111111113,-100.04166666666697,-56.63888888888869,59.63888888888869,46.18055555555566,-22.138888888888687,45.45833333333303
2022-02-13,9.823790727272726,4.684621757575758,35.67783315755378,-99.97160856313985,-177.18687016585773,-341.7449221173297,-36.30898538078327,-193.7361242215029,954.3604956551278,-182.336887530897,-80.67692771314523,-1079.876022976814,-2.0729163351661555,-527.2832078138686,3.5009098787878785,96.28702684210526,79.47394850877193,60.086312280701755,42.29625859649123,-152.42702563830517,3.1495886134067947,1644710400.0,-405.1441441441443,153.76801801801867,-77.99324324324334,-95.88963963964034,-499.63288288288277,-33.975225225224676,64.76576576576645,-474.5382882882882,-35.29729729729752,-104.0112612612611,80.93693693693695,46.23873873873799,-11.799549549549738,12.225225225225586
2022-02-20,10.118520147058822,4.688978970588235,54.818396847393615,-96.92201263711559,-158.81644118903068,-370.5137866485243,-18.36234558666638,-222.91334447194913,1213.4855877674274,-158.6254544907897,213.8907118688512,-1373.3947883012388,23.28561908729307,-849.9986606552229,3.408149117647059,135.0779057352941,86.8900569117647,101.89420294117647,53.70635529411764,-141.9348572639733,3.469558823529412,1645315200.0,-402.49549549549556,165.68693693693695,-60.398648648648305,-88.511261261262,-467.6599099099103,-25.46171171171136,70.81981981981971,-448.2409909909911,114.54054054054086,-105.33558558558525,84.72072072072115,51.91441441441384,6.173423423423628,10.71171171171136
2022-02-27,,,,,,,,,,,,,,,,,,,,,,1645920000.0,-399.8468468468468,177.60585585585613,-42.80405405405418,-81.13288288288277,-435.68693693693695,-16.948198198198043,76.87387387387389,-421.9436936936936,264.37837837837833,-106.6599099099094,88.50450450450444,57.59009009008969,24.14639639639654,9.198198198198043
2022-03-06,,,,,,,,,,,,,,,,,,,,,,1646524800.0,-397.19819819819804,189.52477477477532,-25.20945945945914,-73.75450450450444,-403.7139639639636,-8.434684684684726,82.92792792792807,-395.64639639639654,414.2162162162167,-107.98423423423355,92.28828828828864,63.265765765765536,42.11936936936945,7.684684684684726
2022-03-13,9.608431333333334,5.816474518518518,55.3843706861735,-55.34158911532904,-153.27680139818085,-393.9292971408986,-5.147337454857734,-211.21569018109903,1255.084965769606,-149.98882050059365,-1011.7826752956371,-1563.8625525256375,43.58037765809968,-650.6518968643736,6.700583407407407,-293.0741162222222,-276.23017037037033,-319.67294992592593,-302.8290044444444,-116.58519105918003,6.39954582865694,1647129600.0,-394.54954954954974,201.4436936936936,-7.614864864865012,-66.37612612612611,-371.7409909909911,0.07882882882950071,88.98198198198224,-369.349099099099,564.0540540540542,-109.30855855855862,96.07207207207193,68.94144144144138,60.09234234234236,6.171171171171409
2022-03-20,9.889429226190476,8.291515654761904,96.50728545733728,8.521525850279431,-133.94213212040313,-317.39144089222145,38.7063619763594,-161.5334645104649,1293.9633472947382,-121.76316495297488,-905.3571147347902,-1368.4798332452137,84.77726125466052,-727.0800133723101,9.936934047619047,-563.1401581547619,-500.70565339285713,-583.2662908333334,-520.8317860714285,-74.81714592293702,9.570386904761905,1647734400.0,-429.92999999999984,195.40333333333365,-1.9799999999995634,-67.63333333333321,-363.34000000000015,-0.933333333333394,91.00666666666712,-323.15999999999985,693.5533333333333,-115.52666666666664,95.89666666666653,67.1899999999996,63.67666666666673,0.6933333333336122
2022-03-27,9.996700297619046,8.884975535714286,100.72564027876615,14.958488528850467,-130.09911712040275,-133.99956095174548,46.12675507159747,-141.80108355808352,1287.8378733661668,-128.75966007202214,-835.1069731276475,-1085.3997429475949,79.26415768323159,-726.7914797413573,10.932466011904761,-563.1230645238095,-500.74671178571424,-581.2581325,-518.8817791071428,-66.99659889912755,10.062351190476189,1648339200.0,-595.4099999999999,127.92333333333318,-37.26000000000022,-98.4333333333334,-435.5799999999999,-34.53333333333285,79.2466666666669,-208.92000000000007,753.4733333333334,-138.48666666666668,82.17666666666628,40.029999999999745,18.03666666666686,-18.34666666666635
2022-04-03,10.159537083333333,8.516919523809523,65.1566574811468,-11.164840697339514,-166.74914271564103,-13.022126368412046,18.486400012074228,-182.26007224855948,1195.6759437233097,-164.5848888220221,-936.6956562824093,-930.0931843166418,51.24727131418422,-812.7897027770719,7.276282738095238,-563.1288972023809,-500.72342720238095,-588.5763324404762,-526.1708629166667,-105.89151812531827,7.038779761904761,1648944000.0,-760.8900000000003,60.44333333333361,-72.53999999999996,-129.23333333333358,-507.8199999999997,-68.13333333333321,67.48666666666668,-94.67999999999984,813.3933333333334,-161.44666666666672,68.45666666666693,12.86999999999989,-27.603333333333467,-37.386666666666315
2022-04-10,10.173194371257486,8.225613832335329,93.17367130670982,12.846676712127191,-156.34059654655084,45.28807826517823,34.101688715024466,-161.93710295821165,1267.8172703475614,-143.40299029300877,-818.2015336198774,-681.4265066897551,75.981271908709,-794.217199964839,9.445556946107786,-563.1250985628742,-500.6987088622755,-584.233984491018,-521.8075953892215,-86.86655682719993,9.028253493013972,1649548800.0,-926.3699999999999,-7.036666666665951,-107.81999999999971,-160.03333333333376,-580.0600000000004,-101.73333333333267,55.72666666666737,19.559999999999945,873.3133333333335,-184.40666666666675,54.73666666666668,-14.289999999999964,-73.24333333333334,-56.42666666666628
2022-04-17,10.311275625,8.915293142857143,94.00665318352776,13.168600778851214,-154.52094552516473,65.84466896492131,37.397055190645005,-158.29285802236927,1263.8724231875951,-151.58296945297434,-864.997590353838,-805.909222292832,70.45235745704122,-788.4343484199289,9.254532285714285,-563.1232214285715,-500.7366134285715,-584.6141571428572,-522.2275497142857,-79.25279262531785,8.855857142857142,1650153600.0,-983.5,-30.33333333333303,-120.0,-170.66666666666697,-605.0,-113.33333333333303,51.66666666666697,59.0,894.0,-192.33333333333303,50.0,-23.66666666666697,-89.0,-63.0
